Flags,Utterance,Category,Intent
B,I Can'T Pay For The Last Order I Have Made,Order,Cancel_Order
BP,I Would Like To Cancel My Last Order,Order,Cancel_Order
BI,Where Can I Cancel My Order?,Order,Cancel_Order
B,Help Me Canceling My Order,Order,Cancel_Order
B,Question About Canceling My Order,Order,Cancel_Order
B,Question About Canceling An Order,Order,Cancel_Order
B,Problem With Canceling The Order I Have Made,Order,Cancel_Order
BIP,Could You Help Me Cancelling An Order I Made?,Order,Cancel_Order
B,Question About Canceling The Last Order I Made,Order,Cancel_Order
BM,I Want To Know More About Order Cancelations,Order,Cancel_Order
BIP,Could You Help Me To Cancel An Order?,Order,Cancel_Order
BIP,Could You Help Me Cancel The Last Order I Have Made?,Order,Cancel_Order
BI,Where Do I Cancel The Last Order?,Order,Cancel_Order
B,I Try To Cancel The Order I Made,Order,Cancel_Order
B,Help Me Cancelling An Order I Made,Order,Cancel_Order
B,Help Me Canceling The Order I Made,Order,Cancel_Order
BI,Where Can I Cancel The Order I Have Made?,Order,Cancel_Order
B,I Don'T Know How To Cancel An Order I Made,Order,Cancel_Order
BP,I Would Like To Cancel An Order,Order,Cancel_Order
BE,I Do Not Know How I Can Cancel An Order I Have Made,Order,Cancel_Order
B,I Want Assistance To Cancel The Last Order I Have Made,Order,Cancel_Order
B,Help With Canceling An Order I Made,Order,Cancel_Order
B,I Don'T Know How To Cancel My Last Order,Order,Cancel_Order
B,I Don'T Know How To Cancel The Order I Made,Order,Cancel_Order
BI,Can You Help Me To Cancel The Order I Made?,Order,Cancel_Order
B,Help To Cancel My Order,Order,Cancel_Order
BI,How Do I Cancel My Order?,Order,Cancel_Order
BI,How Do I Cancel The Last Order I Made?,Order,Cancel_Order
B,I Can'T Pay For My Last Order,Order,Cancel_Order
B,Help Me Cancelling The Last Order I Have Made,Order,Cancel_Order
BIM,How Can I Find Information About Cancelling Orders?,Order,Cancel_Order
B,I Need Assistance With Canceling The Last Order I Have Made,Order,Cancel_Order
B,I Have To Cancel My Last Order,Order,Cancel_Order
B,Cancel An Order I Have Made,Order,Cancel_Order
B,I Have A Question About Cancelling My Last Order,Order,Cancel_Order
B,Problem With Canceling The Last Order,Order,Cancel_Order
B,I Want Assistance To Cancel My Order,Order,Cancel_Order
BI,Can You Help Me To Cancel My Order?,Order,Cancel_Order
BK,Cancelling Order,Order,Cancel_Order
BM,I Want Information About Canceling Orders,Order,Cancel_Order
B,I Need Help With Canceling The Order I Have Made,Order,Cancel_Order
B,Help With Canceling The Order I Made,Order,Cancel_Order
B,I Need Help With Cancelling My Order,Order,Cancel_Order
BIP,Where Could I Cancel The Order I Made?,Order,Cancel_Order
B,Find Information About Cancelling An Order,Order,Cancel_Order
B,I Have Got To Cancel The Last Order I Made,Order,Cancel_Order
B,I Need Assistance Canceling The Last Order I Have Made,Order,Cancel_Order
BM,Question About Canceling Orders,Order,Cancel_Order
BEP,I Do Not Know How I Could Cancel The Order I Have Made,Order,Cancel_Order
BM,I Have Problems With Canceling My Last Order,Order,Cancel_Order
B,Help With Cancelling The Order I Have Made,Order,Cancel_Order
B,I Need Assistance With Canceling The Order I Have Made,Order,Cancel_Order
B,Problem With Cancelling An Order I Have Made,Order,Cancel_Order
B,I Try To Cancel The Last Order I Have Made,Order,Cancel_Order
BMP,I Would Like To Know About Order Cancellations,Order,Cancel_Order
BM,Question About Canceling My Orders,Order,Cancel_Order
BEP,I Do Not Know How I Could Cancel My Last Order,Order,Cancel_Order
BI,How Do I Cancel The Last Order I Have Made?,Order,Cancel_Order
BP,I Would Like Information About Canceling An Order,Order,Cancel_Order
B,Assistance Cancelling My Order,Order,Cancel_Order
BI,How To Cancel The Last Order I Have Made?,Order,Cancel_Order
BE,I Am Trying To Find Information About Cancelling An Order,Order,Cancel_Order
BI,Can You Help Me To Cancel The Last Order I Have Made?,Order,Cancel_Order
B,I Need Assistance Cancelling An Order,Order,Cancel_Order
BIP,How Could I Cancel The Last Order I Have Made?,Order,Cancel_Order
BEM,I Am Looking For Information About Order Cancelations,Order,Cancel_Order
BM,I Have A Problem With Cancelling Orders,Order,Cancel_Order
BIM,Can You Give Me Information About Cancelling Orders?,Order,Cancel_Order
B,I Need Assistance Canceling The Order I Made,Order,Cancel_Order
BI,How Can I Cancel The Last Order I Have Made?,Order,Cancel_Order
B,Help Me Canceling An Order I Made,Order,Cancel_Order
B,I Want Assistance Cancelling An Order I Have Made,Order,Cancel_Order
B,I Have A Question About Canceling The Last Order,Order,Cancel_Order
BE,I Do Not Know How To Cancel The Last Order I Made,Order,Cancel_Order
BIP,Would It Be Possible To Cancel The Last Order I Have Made?,Order,Cancel_Order
B,I Want Help To Cancel The Order I Have Made,Order,Cancel_Order
B,Help Me Cancel The Last Order I Made,Order,Cancel_Order
BIP,Could You Help Me Cancelling The Order I Made?,Order,Cancel_Order
B,I Need Assistance With Canceling My Last Order,Order,Cancel_Order
BI,Can You Help Me Cancel The Last Order?,Order,Cancel_Order
BE,I Do Not Want To Pay For The Last Order I Have Made,Order,Cancel_Order
BI,Is It Possible To Cancel The Last Order I Made?,Order,Cancel_Order
B,Help With Cancelling The Last Order I Have Made,Order,Cancel_Order
B,Assistance Cancelling The Order I Made,Order,Cancel_Order
B,I Need Help To Cancel An Order,Order,Cancel_Order
B,I Have A Problem With Cancelling My Last Order,Order,Cancel_Order
BM,I Have Problems With Canceling The Order I Have Made,Order,Cancel_Order
B,I Don'T Know How To Cancel An Order,Order,Cancel_Order
B,I Am Trying To Cancel The Last Order,Order,Cancel_Order
B,Help Cancelling My Order,Order,Cancel_Order
B,I Don'T Know How I Can Cancel The Last Order I Made,Order,Cancel_Order
B,I Want Help Canceling The Order I Have Made,Order,Cancel_Order
BP,I Don'T Know How I Could Cancel An Order I Have Made,Order,Cancel_Order
BIP,Will You Give Me Information About Canceling An Order?,Order,Cancel_Order
B,Assistance With Cancelling The Last Order I Made,Order,Cancel_Order
B,I Need To Cancel My Order,Order,Cancel_Order
BE,I Do Not Want To Pay For The Order I Made,Order,Cancel_Order
BI,How Can I Cancel An Order?,Order,Cancel_Order
B,Assistance Canceling My Last Order,Order,Cancel_Order
BM,I Have Problems With Cancelling The Last Order I Made,Order,Cancel_Order
B,I Can'T Pay For The Order I Have Made,Order,Cancel_Order
BIMP,Could You Give Me Information About Cancelling Orders?,Order,Cancel_Order
BE,I Do Not Know How To Cancel An Order I Have Made,Order,Cancel_Order
BI,Where Do I Cancel The Order I Have Made?,Order,Cancel_Order
B,I Have A Problem With Canceling The Last Order I Made,Order,Cancel_Order
B,Help Canceling The Last Order,Order,Cancel_Order
B,I Need Help With Canceling An Order I Made,Order,Cancel_Order
B,Help With Cancelling The Last Order,Order,Cancel_Order
B,I Want Help To Cancel My Last Order,Order,Cancel_Order
BEP,I Do Not Know How I Could Cancel The Last Order I Made,Order,Cancel_Order
B,I Want Assistance To Cancel The Last Order,Order,Cancel_Order
BI,Where Can I Cancel The Last Order I Made?,Order,Cancel_Order
BIM,Can You Tell Me About Order Cancellations?,Order,Cancel_Order
BIP,Could You Help Me Canceling An Order I Have Made?,Order,Cancel_Order
B,Assistance Cancelling The Last Order I Made,Order,Cancel_Order
BP,I Would Like To Cancel The Last Order,Order,Cancel_Order
B,Question About Cancelling The Last Order,Order,Cancel_Order
B,Problem With Canceling My Last Order,Order,Cancel_Order
B,Assistance Cancelling An Order I Made,Order,Cancel_Order
BI,How Can I Cancel An Order I Have Made?,Order,Cancel_Order
B,I Have A Problem With Cancelling The Order I Made,Order,Cancel_Order
B,Problem With Canceling The Last Order I Have Made,Order,Cancel_Order
B,Assistance Canceling The Order I Made,Order,Cancel_Order
BIMP,How Could I Get Information About Cancelling Orders?,Order,Cancel_Order
BM,I Want Information About Cancelling Orders,Order,Cancel_Order
B,Assistance Cancelling My Last Order,Order,Cancel_Order
BM,Give Me Information About Cancelling Orders,Order,Cancel_Order
B,Help To Cancel An Order I Made,Order,Cancel_Order
BI,Can You Help Me To Cancel An Order I Made?,Order,Cancel_Order
B,Problem With Canceling The Order I Made,Order,Cancel_Order
BE,I Do Not Want To Pay For My Last Order,Order,Cancel_Order
BI,Can You Help Me Cancel My Last Order?,Order,Cancel_Order
B,I Need Assistance To Cancel An Order,Order,Cancel_Order
BIM,Where Can I Get Information About Order Cancellations?,Order,Cancel_Order
B,I Want To Cancel The Last Order I Made,Order,Cancel_Order
B,I Need Help With Cancelling An Order,Order,Cancel_Order
B,I Want Assistance Canceling An Order,Order,Cancel_Order
B,I Need Assistance With Cancelling An Order,Order,Cancel_Order
BIMP,Will You Give Me Information About Order Cancelations?,Order,Cancel_Order
B,I Have Got To Cancel My Order,Order,Cancel_Order
BIP,Could You Help Me Cancelling The Last Order?,Order,Cancel_Order
B,I Don'T Want The Order I Have Made,Order,Cancel_Order
B,I Am Trying To Cancel The Order I Have Made,Order,Cancel_Order
B,Question About Cancelling My Last Order,Order,Cancel_Order
B,Help Me To Cancel My Last Order,Order,Cancel_Order
B,I Have A Problem With Canceling The Last Order I Have Made,Order,Cancel_Order
B,Help With Canceling The Order I Have Made,Order,Cancel_Order
BIP,Could You Help Me Cancel An Order?,Order,Cancel_Order
BIP,Would It Be Possible To Cancel My Order?,Order,Cancel_Order
BI,Where Can I Get Information About Canceling An Order?,Order,Cancel_Order
BIP,Where Could I Cancel The Last Order?,Order,Cancel_Order
B,I Have A Problem With Cancelling An Order I Made,Order,Cancel_Order
BI,Is It Possible To Cancel An Order I Have Made?,Order,Cancel_Order
BK,Canceling Order,Order,Cancel_Order
BIP,Where Could I Cancel My Order?,Order,Cancel_Order
BI,Can You Help Me Cancelling The Order I Made?,Order,Cancel_Order
BI,Can You Help Me Cancelling My Order?,Order,Cancel_Order
BE,I Do Not Know How I Can Cancel The Order I Have Made,Order,Cancel_Order
B,Help To Cancel An Order I Have Made,Order,Cancel_Order
B,I Want Help To Cancel An Order I Have Made,Order,Cancel_Order
BI,Can You Help Me Canceling The Order I Made?,Order,Cancel_Order
B,I Need Help Canceling The Order I Have Made,Order,Cancel_Order
B,Help Canceling My Last Order,Order,Cancel_Order
BM,Problems With Cancelling The Order I Made,Order,Cancel_Order
BM,I Have Problems With Cancelling The Order I Have Made,Order,Cancel_Order
BM,I Have Problems With Canceling An Order I Have Made,Order,Cancel_Order
B,I Have Got To Cancel An Order,Order,Cancel_Order
BE,I Do Not Want To Pay For An Order I Made,Order,Cancel_Order
BM,I Want To Know About Order Cancellations,Order,Cancel_Order
BM,I Want To Know More About Order Cancellations,Order,Cancel_Order
BIP,How Could I Cancel The Last Order I Made?,Order,Cancel_Order
B,Help With Cancelling My Last Order,Order,Cancel_Order
BIMP,Could You Tell Me More About Order Cancellations?,Order,Cancel_Order
B,Help Me Canceling My Last Order,Order,Cancel_Order
BIMP,How Could I Find Information About Order Cancellations?,Order,Cancel_Order
BM,I Have Problems With Canceling The Last Order I Have Made,Order,Cancel_Order
BIP,How Could I Cancel An Order I Made?,Order,Cancel_Order
BE,I Cannot Pay For My Last Order,Order,Cancel_Order
BM,Tell Me About Order Cancelations,Order,Cancel_Order
B,I Need Assistance With Canceling An Order I Made,Order,Cancel_Order
B,I Have A Question About Canceling The Last Order I Made,Order,Cancel_Order
BIMP,Where Could I Get Information About Canceling Orders?,Order,Cancel_Order
B,Help Me Canceling The Last Order I Have Made,Order,Cancel_Order
B,I Can'T Pay For An Order I Have Made,Order,Cancel_Order
BIMP,Would You Give Me Information About Order Cancelations?,Order,Cancel_Order
BI,How To Cancel The Last Order I Made?,Order,Cancel_Order
BM,I Have Problems With Cancelling An Order,Order,Cancel_Order
B,I Need Help Canceling My Order,Order,Cancel_Order
B,Help To Cancel The Order I Made,Order,Cancel_Order
BK,Cancel Order,Order,Cancel_Order
B,I Need Help With Canceling The Last Order I Made,Order,Cancel_Order
BIP,Would It Be Possible To Cancel The Order I Made?,Order,Cancel_Order
B,I Need Help To Cancel My Order,Order,Cancel_Order
B,Help Me Canceling The Last Order I Made,Order,Cancel_Order
BI,Can You Help Me Cancel The Order I Made?,Order,Cancel_Order
B,Help To Cancel The Last Order,Order,Cancel_Order
B,Help Me Cancelling My Last Order,Order,Cancel_Order
B,I Want Assistance To Cancel The Order I Have Made,Order,Cancel_Order
BIP,Where Could I Cancel An Order I Made?,Order,Cancel_Order
BI,How Can I Cancel An Order I Made?,Order,Cancel_Order
B,I Need Assistance With Canceling The Last Order,Order,Cancel_Order
BIMP,How Could I Get Information About Order Cancelations?,Order,Cancel_Order
BM,I Have Problems With Canceling Orders,Order,Cancel_Order
B,I Don'T Want To Pay For The Last Order I Have Made,Order,Cancel_Order
BIP,Where Could I Get Information About Cancelling An Order?,Order,Cancel_Order
B,I Don'T Know How To Cancel An Order I Have Made,Order,Cancel_Order
B,I Have A Question About Canceling My Order,Order,Cancel_Order
BM,I Have A Question About Canceling Orders,Order,Cancel_Order
BI,Can You Help Me Canceling The Last Order?,Order,Cancel_Order
B,I Need Assistance With Cancelling The Last Order,Order,Cancel_Order
BIP,Could You Help Me Cancelling An Order?,Order,Cancel_Order
B,I Have A Problem With Canceling An Order,Order,Cancel_Order
BK,Order Cancellation,Order,Cancel_Order
B,Help Cancelling The Last Order I Have Made,Order,Cancel_Order
B,Question About Cancelling An Order I Have Made,Order,Cancel_Order
B,Help Canceling An Order,Order,Cancel_Order
BM,Question About Cancelling Orders,Order,Cancel_Order
B,Help Me Cancelling My Order,Order,Cancel_Order
BI,How Do I Cancel An Order I Made?,Order,Cancel_Order
B,I Have Got To Cancel The Order I Have Made,Order,Cancel_Order
B,I Don'T Want The Last Order I Made,Order,Cancel_Order
BMP,I Would Like To Know More About Order Cancellations,Order,Cancel_Order
BM,Tell Me More About Order Cancelations,Order,Cancel_Order
B,Information About Canceling An Order,Order,Cancel_Order
B,I Have A Question About Cancelling My Order,Order,Cancel_Order
B,I Have A Problem With Cancelling My Order,Order,Cancel_Order
BK,Order Cancelation,Order,Cancel_Order
B,Question About Canceling My Last Order,Order,Cancel_Order
B,Assistance With Cancelling The Order I Have Made,Order,Cancel_Order
BI,How To Cancel My Order?,Order,Cancel_Order
B,I Am Trying To Cancel An Order I Made,Order,Cancel_Order
BEP,I Do Not Know How I Could Cancel An Order,Order,Cancel_Order
B,I Don'T Know How I Can Cancel The Last Order I Have Made,Order,Cancel_Order
B,I Don'T Know How I Can Cancel An Order I Have Made,Order,Cancel_Order
BIP,Could You Help Me Cancel The Order I Have Made?,Order,Cancel_Order
B,Help Canceling The Order I Have Made,Order,Cancel_Order
BM,Problems With Canceling The Order I Made,Order,Cancel_Order
B,I Need Help Canceling The Last Order,Order,Cancel_Order
B,I Need Assistance With Cancelling The Order I Made,Order,Cancel_Order
B,I Don'T Know How To Cancel My Order,Order,Cancel_Order
BE,I Am Trying To Find Information About Canceling An Order,Order,Cancel_Order
B,I Have To Cancel The Order I Made,Order,Cancel_Order
B,Assistance Cancelling An Order,Order,Cancel_Order
BM,I Need Assistance With Cancelling My Orders,Order,Cancel_Order
BI,Is It Possible To Cancel The Last Order?,Order,Cancel_Order
BM,Find Information About Order Cancelations,Order,Cancel_Order
B,I Have A Question About Cancelling An Order,Order,Cancel_Order
B,Assistance Cancelling The Last Order,Order,Cancel_Order
B,I Don'T Want An Order I Have Made,Order,Cancel_Order
B,Help Me Cancel The Order I Made,Order,Cancel_Order
B,I Have To Cancel An Order I Have Made,Order,Cancel_Order
B,I Don'T Know How I Can Cancel The Last Order,Order,Cancel_Order
BIP,Could You Help Me Canceling The Order I Have Made?,Order,Cancel_Order
BIP,Could You Help Me To Cancel My Last Order?,Order,Cancel_Order
BI,Can You Help Me To Add Something To An Order?,Order,Change_Order
BIM,Can You Help Me Removing Some Items?,Order,Change_Order
B,Help Adding An Item,Order,Change_Order
B,I Try To Change My Last Order,Order,Change_Order
BIP,Could I Add An Item To An Order?,Order,Change_Order
BM,I Have Problems With Removing An Item,Order,Change_Order
BM,I Have A Problem With Removing Several Items,Order,Change_Order
B,I Have To Change My Order,Order,Change_Order
B,I Have A Problem With Removing Something,Order,Change_Order
BM,I Have Got To Change Several Items Of An Order,Order,Change_Order
BP,I Don'T Know How I Could Add Something,Order,Change_Order
B,I Don'T Know How To Change An Item Of An Order,Order,Change_Order
BM,Assistance With Removing Several Items From An Order,Order,Change_Order
B,I Want Assistance To Change An Order I Made,Order,Change_Order
BI,How Can I Change Something Of An Order?,Order,Change_Order
B,I Need Help With Removing Something,Order,Change_Order
BM,I Need Help To Add Several Items,Order,Change_Order
BMP,I Would Like To Add Several Items To An Order,Order,Change_Order
BM,I Don'T Know How I Can Remove Several Items From An Order,Order,Change_Order
BI,Can I Change The Order I Made?,Order,Change_Order
BIP,Could You Help Me Change My Order?,Order,Change_Order
B,I Need Help With Changing The Order I Made,Order,Change_Order
BI,Can You Help Me To Remove Something?,Order,Change_Order
BI,How To Add Something?,Order,Change_Order
B,Assistance Changing The Last Order I Made,Order,Change_Order
BI,Can You Help Me To Remove An Item?,Order,Change_Order
BI,How To Change An Order?,Order,Change_Order
BM,Help To Add Several Items To An Order,Order,Change_Order
B,I Want To Remove An Item From An Order,Order,Change_Order
BM,I Have To Remove Several Items,Order,Change_Order
B,I Have Forgotten To Include An Item,Order,Change_Order
BIP,Could I Add Something To An Order?,Order,Change_Order
B,I Have To Add Something,Order,Change_Order
BM,Remove Some Items From An Order,Order,Change_Order
B,Help Me Remove An Item From An Order,Order,Change_Order
BI,Can You Help Me Changing The Order I Made?,Order,Change_Order
BK,Remove Item From Order,Order,Change_Order
B,Question About Changing An Order,Order,Change_Order
BIMP,How Could I Remove Several Items From An Order?,Order,Change_Order
BM,I Have To Add Several Items To An Order,Order,Change_Order
B,Problem With Adding Something,Order,Change_Order
B,Change An Order,Order,Change_Order
BI,Can You Help Me To Change An Order I Have Made?,Order,Change_Order
BIP,Could You Help Me Add Something To An Order?,Order,Change_Order
BIP,Could You Help Me Change The Order I Have Made?,Order,Change_Order
B,Help To Add An Item,Order,Change_Order
BI,Is It Possible To Change The Order I Have Made?,Order,Change_Order
B,Help To Change An Order I Have Made,Order,Change_Order
B,Help Me Change Something Of An Order,Order,Change_Order
B,I Don'T Know How To Remove An Item From An Order,Order,Change_Order
B,Question About Changing My Order,Order,Change_Order
B,I Am Trying To Change My Last Order,Order,Change_Order
B,Help To Change An Item Of An Order,Order,Change_Order
B,I Need Help Changing My Order,Order,Change_Order
B,I Need To Change The Last Order I Have Made,Order,Change_Order
B,I Need Assistance To Change An Order,Order,Change_Order
BM,I Have Missed Some Items In The Order,Order,Change_Order
BI,Is It Possible To Change An Order I Have Made?,Order,Change_Order
BE,I Do Not Know How To Add An Item,Order,Change_Order
B,I Need Assistance With Changing The Order I Have Made,Order,Change_Order
BIM,Can You Help Me Removing Several Items From An Order?,Order,Change_Order
BIM,Can You Help Me Removing Several Items?,Order,Change_Order
B,I Want Assistance To Change The Last Order,Order,Change_Order
BM,I Don'T Know How To Remove Some Items,Order,Change_Order
BM,I Need Help To Change Several Items Of An Order,Order,Change_Order
BM,Help Me Remove Several Items,Order,Change_Order
BM,I Have Problems With Adding Something,Order,Change_Order
B,I Try To Add Something,Order,Change_Order
BM,Problems With Changing My Last Order,Order,Change_Order
B,I Have A Question About Changing The Last Order I Have Made,Order,Change_Order
BM,Help With Adding Some Items,Order,Change_Order
BIM,Is It Possible To Add Some Items To An Order?,Order,Change_Order
BIM,Can You Help Me To Remove Several Items?,Order,Change_Order
BM,I Can'T Remove Some Items,Order,Change_Order
BIM,How Do I Add Several Items To An Order?,Order,Change_Order
BM,I Want To Remove Some Items From An Order,Order,Change_Order
BM,I Need Assistance With Adding Some Items,Order,Change_Order
BP,I Would Like To Remove Something,Order,Change_Order
B,I Need Help With Removing An Item,Order,Change_Order
BIP,Could You Help Me To Remove An Item?,Order,Change_Order
BM,I Have To Remove Several Items From An Order,Order,Change_Order
B,I Try To Remove Something From An Order,Order,Change_Order
BM,I Have Problems With Adding Some Items To An Order,Order,Change_Order
B,Assistance To Add Something,Order,Change_Order
BI,How Can I Add An Item To An Order?,Order,Change_Order
BIM,How Can I Remove Several Items From An Order?,Order,Change_Order
BM,I Want Help Adding Several Items To An Order,Order,Change_Order
BEP,I Do Not Know How I Could Add Something,Order,Change_Order
B,Problem With Changing An Order,Order,Change_Order
BI,Is It Possible To Change An Order I Made?,Order,Change_Order
B,I Need Help To Change Something Of An Order,Order,Change_Order
BIM,How Can I Remove Some Items From An Order?,Order,Change_Order
B,I Don'T Know How I Can Add An Item,Order,Change_Order
B,I Am Trying To Change The Last Order I Made,Order,Change_Order
BEM,I Cannot Remove Some Items From An Order,Order,Change_Order
B,I Want Assistance To Change An Order I Have Made,Order,Change_Order
B,Assistance To Remove An Item,Order,Change_Order
BM,I Have Problems With Removing Something,Order,Change_Order
B,Assistance To Change An Order,Order,Change_Order
B,Help Me Change An Item Of An Order,Order,Change_Order
BIM,How Can I Get Information About Changing Orders?,Order,Change_Order
B,I Want Assistance To Change An Item Of An Order,Order,Change_Order
B,I Need Help To Change An Order I Made,Order,Change_Order
BIM,Can You Help Me Add Several Items To An Order?,Order,Change_Order
B,Help Me Changing Something Of An Order,Order,Change_Order
BIM,How Do I Change Several Items Of An Order?,Order,Change_Order
BIMP,How Could I Get Information About Order Changes?,Order,Change_Order
BIM,Can You Help Me To Add Some Items?,Order,Change_Order
B,I Have Got To Remove Something,Order,Change_Order
B,I Need Help With Adding An Item To An Order,Order,Change_Order
B,I Have A Problem With Changing The Order I Have Made,Order,Change_Order
BM,Problems With Adding An Item To An Order,Order,Change_Order
BM,Information About Changing Orders,Order,Change_Order
BI,How To Change The Last Order I Have Made?,Order,Change_Order
B,I Want Assistance To Remove Something From An Order,Order,Change_Order
B,I Need Assistance To Change The Last Order,Order,Change_Order
BE,I Do Not Know How I Can Add An Item,Order,Change_Order
BM,I Have A Problem With Changing Some Items Of An Order,Order,Change_Order
B,Assistance Changing My Last Order,Order,Change_Order
BM,I Have Problems With Changing Something Of An Order,Order,Change_Order
BM,I Have Problems With Removing Something From An Order,Order,Change_Order
B,I Have To Change My Last Order,Order,Change_Order
BIMP,Could You Help Me Remove Some Items From An Order?,Order,Change_Order
B,Help To Change The Order I Made,Order,Change_Order
BM,I Want To Add Some Items To An Order,Order,Change_Order
BEM,I Do Not Know How I Can Add Several Items,Order,Change_Order
BIP,Could I Add Something?,Order,Change_Order
BM,Help Me Removing Several Items,Order,Change_Order
BMP,I Don'T Know How I Could Change Some Items Of An Order,Order,Change_Order
B,I Don'T Know How I Can Add An Item To An Order,Order,Change_Order
B,Help Changing An Order I Made,Order,Change_Order
BI,How Can I Add Something?,Order,Change_Order
BK,Order Change,Order,Change_Order
BM,I Can'T Add Some Items To An Order,Order,Change_Order
B,Help To Change The Last Order I Made,Order,Change_Order
B,I Need Assistance To Add An Item,Order,Change_Order
BEM,I Cannot Change Several Items Of An Order,Order,Change_Order
BIP,Could You Help Me Removing Something?,Order,Change_Order
BIP,Could I Change The Order I Made?,Order,Change_Order
BP,I Would Like To Change The Last Order I Have Made,Order,Change_Order
BE,I Do Not Know How I Can Change An Item Of An Order,Order,Change_Order
BM,Add Some Items To An Order,Order,Change_Order
BM,I Want Help Adding Some Items To An Order,Order,Change_Order
BM,Assistance With Adding Several Items,Order,Change_Order
BIMP,Will You Give Me Information About Order Changes?,Order,Change_Order
B,Help Me To Remove Something,Order,Change_Order
BM,I Don'T Know How To Remove Some Items From An Order,Order,Change_Order
BM,I Want To Remove Several Items,Order,Change_Order
BM,I Want Assistance To Add Several Items,Order,Change_Order
BI,Is It Possible To Change An Order?,Order,Change_Order
B,I Need Assistance With Removing Something From An Order,Order,Change_Order
B,I Have A Question About Changing An Order I Made,Order,Change_Order
B,I Want To Change Something Of An Order,Order,Change_Order
B,I Want Assistance To Change The Last Order I Made,Order,Change_Order
BM,Problem With Adding Some Items To An Order,Order,Change_Order
BIP,Could You Help Me Change The Order I Made?,Order,Change_Order
B,I Don'T Know How To Add Something,Order,Change_Order
B,I Have A Problem With Removing Something From An Order,Order,Change_Order
BM,The Items I Have Purchased Aren'T The Ones I Wanted,Order,Change_Order
BM,Help Me Change Several Items Of An Order,Order,Change_Order
B,Help With Adding An Item To An Order,Order,Change_Order
B,I Have A Problem With Changing My Order,Order,Change_Order
BI,Can You Help Me Removing Something?,Order,Change_Order
BM,I Need To Add Some Items To An Order,Order,Change_Order
B,Help Changing An Item Of An Order,Order,Change_Order
B,I Am Trying To Change The Last Order I Have Made,Order,Change_Order
BEM,I Do Not Know How To Add Some Items To An Order,Order,Change_Order
